county,metric,vic_sex,vic_race,vic_age,off_sex,off_race,off_age,relationship,estimate
ADAMS,offender_count,,,,F,White,18-24,,1
ADAMS,offender_count,,,,F,White,25-34,,3
ADAMS,offender_count,,,,F,White,35-44,,7
ADAMS,offender_count,,,,F,White,45-54,,4
ADAMS,offender_count,,,,F,White,65+,,2
ADAMS,offender_count,,,,F,White,Under 18,,2
ADAMS,offender_count,,,,M,American Indian or Alaska Native,35-44,,1
ADAMS,offender_count,,,,M,Black or African American,45-54,,1
ADAMS,offender_count,,,,M,Unknown,25-34,,1
ADAMS,offender_count,,,,M,White,18-24,,6
ADAMS,offender_count,,,,M,White,25-34,,8
ADAMS,offender_count,,,,M,White,35-44,,14
ADAMS,offender_count,,,,M,White,45-54,,7
ADAMS,offender_count,,,,M,White,55-64,,1
ADAMS,offender_count,,,,M,White,65+,,3
ADAMS,offender_count,,,,M,White,Under 18,,14
ADAMS,victim_aggravated_assault,F,American Indian or Alaska Native,35-44,M,White,35-44,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_aggravated_assault,F,White,18-24,M,White,18-24,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,F,White,18-24,M,White,35-44,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,F,White,25-34,M,White,35-44,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_aggravated_assault,F,White,35-44,M,American Indian or Alaska Native,35-44,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,F,White,35-44,M,White,45-54,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,F,White,45-54,M,White,35-44,Victim Was Spouse,1
ADAMS,victim_aggravated_assault,F,White,45-54,M,White,Under 18,Victim Was Parent,2
ADAMS,victim_aggravated_assault,F,White,65+,M,White,45-54,Victim Was Parent,1
ADAMS,victim_aggravated_assault,F,White,65+,M,White,55-64,Victim Was Parent,1
ADAMS,victim_aggravated_assault,F,White,Under 18,F,White,35-44,Victim Was Child,1
ADAMS,victim_aggravated_assault,F,White,Under 18,M,White,35-44,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,F,White,Under 18,M,White,Under 18,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_aggravated_assault,M,White,55-64,M,White,25-34,Victim Was Parent,1
ADAMS,victim_aggravated_assault,M,White,Under 18,F,White,35-44,Victim Was Child,1
ADAMS,victim_aggravated_assault,M,White,Under 18,M,White,25-34,Victim Was Child,1
ADAMS,victim_aggravated_assault,M,White,Under 18,M,White,35-44,Victim Was Child,1
ADAMS,victim_count,F,American Indian or Alaska Native,35-44,,,,,2
ADAMS,victim_count,F,White,18-24,,,,,6
ADAMS,victim_count,F,White,25-34,,,,,7
ADAMS,victim_count,F,White,35-44,,,,,11
ADAMS,victim_count,F,White,45-54,,,,,14
ADAMS,victim_count,F,White,55-64,,,,,3
ADAMS,victim_count,F,White,65+,,,,,3
ADAMS,victim_count,F,White,Under 18,,,,,9
ADAMS,victim_count,M,White,18-24,,,,,2
ADAMS,victim_count,M,White,25-34,,,,,4
ADAMS,victim_count,M,White,35-44,,,,,5
ADAMS,victim_count,M,White,45-54,,,,,3
ADAMS,victim_count,M,White,55-64,,,,,3
ADAMS,victim_count,M,White,65+,,,,,2
ADAMS,victim_count,M,White,Under 18,,,,,3
ADAMS,victim_criminal_sexual_contact,F,White,35-44,M,White,45-54,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_criminal_sexual_contact,F,White,Under 18,M,White,Under 18,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_intimidation,F,White,35-44,M,White,35-44,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_intimidation,F,White,45-54,M,White,25-34,Victim Was Spouse,1
ADAMS,victim_rape,F,White,18-24,M,White,45-54,Victim Was Child,1
ADAMS,victim_rape,F,White,Under 18,F,White,Under 18,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_rape,F,White,Under 18,M,Unknown,25-34,Victim Was Child of Boyfriend or Girlfriend,1
ADAMS,victim_rape,F,White,Under 18,M,White,18-24,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_rape,F,White,Under 18,M,White,Under 18,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_rape,M,White,18-24,F,White,Under 18,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_rape,M,White,18-24,M,White,18-24,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_simple_assault,F,White,18-24,M,White,18-24,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_simple_assault,F,White,18-24,M,White,25-34,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_simple_assault,F,White,25-34,F,White,45-54,Victim Was Child,1
ADAMS,victim_simple_assault,F,White,25-34,M,White,25-34,Victim Was Boyfriend/Girlfriend,2
ADAMS,victim_simple_assault,F,White,25-34,M,White,Under 18,Victim Was Parent,2
ADAMS,victim_simple_assault,F,White,35-44,F,White,Under 18,Victim Was Parent,1
ADAMS,victim_simple_assault,F,White,35-44,M,Black or African American,45-54,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_simple_assault,F,White,35-44,M,White,25-34,Victim Was Boyfriend/Girlfriend,1
ADAMS,victim_simple_assault,F,White,35-44,M,White,35-44,Victim Was Boyfriend/Girlfriend,2
